net,mu,lam,bwd,family,alloc,T,seconds
NN4,32,64,T,FM,"[866, 1000, 750, 784, 1000, 500, 10]",0.0017706088102697238,46.39695954322815
NN5,1,8,R,FM,"[1000, 168, 250, 5]",0.0003881009944588314,24.135573863983154
NN5,1,8,T,FM,"[1000, 500, 1000, 10]",0.00013783124020585753,24.092564344406128
NN5,1,64,R,FM,"[1000, 250, 667, 10]",0.00019113433319856038,23.599311113357544
NN5,1,64,T,FM,"[1000, 1000, 1000, 10]",0.0001273012411884417,23.8326518535614
NN5,8,8,R,FM,"[1000, 80, 160, 5]",0.0019197785013146944,23.8516685962677
NN5,8,8,T,FM,"[1000, 1000, 1000, 10]",0.0004938769591625411,24.291834354400635
NN5,8,64,R,FM,"[1000, 256, 500, 10]",0.0009315732698983187,23.595860719680786
NN5,8,64,T,FM,"[1000, 1000, 1000, 10]",0.0004661609834546439,23.924087285995483
NN5,16,8,R,FM,"[1000, 72, 160, 5]",0.003631929681780409,24.00475311279297
NN5,16,8,T,FM,"[1000, 1000, 1000, 10]",0.0009103996397101699,24.366631269454956
NN5,16,64,R,FM,"[1000, 167, 445, 10]",0.0017851363953174878,23.51805830001831
NN5,16,64,T,FM,"[1000, 1000, 1000, 10]",0.0008629224875316845,23.780304431915283
NN5,32,8,R,FM,"[1000, 72, 144, 5]",0.007552206089284625,23.747560501098633
NN5,32,8,T,FM,"[1000, 1000, 1000, 10]",0.0018157499116464109,24.188628673553467
NN5,32,64,R,FM,"[1000, 256, 445, 10]",0.003682312478649015,23.55413293838501
NN5,32,64,T,FM,"[1000, 1000, 1000, 10]",0.001728750406526749,24.066171169281006
NN6,1,8,R,FM,"[1000, 168, 223, 167, 223, 167, 223, 5]",0.0010273287422998142,71.67283487319946
NN6,1,8,T,FM,"[1000, 1000, 1000, 1000, 1000, 1000, 1000, 10]",0.00030671258276327085,72.9886040687561
NN6,1,64,R,FM,"[1000, 250, 667, 250, 667, 250, 667, 10]",0.0004476874210760374,72.66952347755432
NN6,1,64,T,FM,"[1000, 1000, 1000, 1000, 1000, 1000, 1000, 10]",0.00027862048368080373,71.21466612815857
NN6,8,8,R,FM,"[1000, 80, 144, 80, 144, 80, 144, 5]",0.0051494867159949794,71.44619083404541
NN6,8,8,T,FM,"[1000, 1000, 1000, 1000, 1000, 1000, 1000, 10]",0.0010848177175671924,72.10375618934631
NN6,8,64,R,FM,"[1000, 256, 445, 250, 445, 250, 445, 10]",0.0022406304965634062,70.53881931304932
NN6,8,64,T,FM,"[1000, 1000, 1000, 1000, 1000, 1000, 1000, 10]",0.0010158088537788432,71.28595089912415
NN6,16,8,R,FM,"[1000, 72, 144, 72, 144, 72, 144, 5]",0.009767461394763756,71.5053882598877
