tag,net,C,c,k,B,mux,P_lane_max,mu,bwd,F,P_lane_dbm,IL_window,acl,T,comp,comm,E_laser,E_tune,E_dyn,E_fab,E_leak,E_comp,E_total,max_chain,segments,relays,commF,commB,fabric_bound,T_max,T_bf,u_bf,T_ideal,E_ideal,acl_ideal,IL_ideal,P_ideal_dbm,secs
clusters,NN2,8,128,8,40000000000.0,SDM,8.0,1,R,6,7.689861366294243,17.95896149637481,"[6, 7, 8, 4, 1]",8.255053988043344e-05,8.011199203187251e-05,2.193547848560936e-06,1.5620764904234907e-06,4.3753625599999996e-08,2.12932096e-06,7.980288e-05,3.130316472266036e-07,0.00029263773999999997,0.0003764888027232501,1.0,81.0,0.0,1.7325065811450525e-07,2.0202971904464305e-06,3.0,8.255053988043344e-05,8.255053988043344e-05,8,8.255053988043345e-05,0.0003766044333990348,"[6, 7, 8, 4, 1]",14.373835343444899,4.104735213364334,0.7313165664672852
clusters,NN2,16,64,4,40000000000.0,SDM,8.0,1,R,6,6.44722067917496,16.716320809255524,"[12, 13, 16, 8, 1]",8.279700681452865e-05,8.011199203187251e-05,2.440014782656152e-06,2.673804871872537e-06,9.97023808e-08,4.843038719999999e-06,8.0419584e-05,6.279324996813853e-07,0.00029263773999999997,0.0003813018024723539,2.0,287.0,126.0,3.15406796377387e-07,2.124607986278765e-06,3.0,8.279700681452865e-05,8.279700681452865e-05,16,8.26517126968816e-05,0.0003807942317705607,"[12, 13, 16, 8, 1]",19.37570817533852,9.106608045257955,0.23716497421264648
clusters,NN2,32,32,2,40000000000.0,SDM,8.0,1,R,6,5.5685410227346015,15.837641152815166,"[28, 25, 32, 16, 1]",8.407117420771813e-05,8.011199203187251e-05,3.7141821758456283e-06,6.025696435513622e-06,2.750749440000001e-07,1.305521920000001e-05,8.1652992e-05,1.2751915703826685e-06,0.00029263773999999997,0.00039492191414989625,3.0,912.0,583.0,4.6429697027575503e-07,3.249885205569873e-06,0.0,8.414882126654165e-05,8.414882126654165e-05,32,8.285350256649963e-05,0.0003891141590956774,"[24, 25, 32, 16, 1]",25.682862381470713,15.413762251390148,0.24837923049926758
clusters,NN2,64,16,1,40000000000.0,SDM,8.0,1,R,6,4.947220679174958,15.216320809255523,"[51, 49, 63, 32, 1]",9.191412348040909e-05,8.011199203187251e-05,1.1557131448536583e-05,1.6751064000280793e-05,8.823039360000018e-07,4.021019648e-05,8.409472000000001e-05,2.7883068499016897e-06,0.00029263773999999997,0.00043736433126618244,6.0,3451.0,2807.0,8.803304301506438e-07,1.067680101838594e-05,0.0,9.209529995099733e-05,9.206294700982085e-05,63,8.459177053923263e-05,0.00040565582305952764,"[64, 49, 63, 32, 1]",34.31630808861814,24.047207958537577,0.4687232971191406
clusters,NN2,8,128,8,40000000000.0,SDM,8.0,1,T,6,7.689861366294243,17.95896149637481,"[6, 7, 8, 4, 1]",8.369586185215653e-05,8.315288994769223e-05,2.979719044643046e-07,6.991996742677034e-07,1.95845216e-08,1.3199667199999998e-06,1.3790079999999999e-06,3.1737470814337755e-07,0.00036662558,0.0003703607136240111,1.0,81.0,0.0,1.7325065811450525e-07,1.2472124634979937e-07,0.0,8.369586185215653e-05,8.369586185215653e-05,8,8.369586185215653e-05,0.0003704124709683791,"[6, 7, 8, 4, 1]",14.373835343444899,4.104735213364334,0.23311185836791992
clusters,NN2,16,64,4,40000000000.0,SDM,8.0,1,T,6,6.44722067917496,16.716320809255524,"[12, 13, 16, 8, 1]",8.393488001103523e-05,8.315288994769223e-05,5.369900633430093e-07,9.540292434179381e-07,3.557439359999997e-08,2.6130624e-06,2.4675200000000002e-06,6.365621300036912e-07,0.00036662558,0.00037333232816702164,2.0,287.0,126.0,3.15406796377387e-07,2.215832669656223e-07,0.0,8.393488001103523e-05,8.393488001103523e-05,16,8.370046824632934e-05,0.0003726575445645025,"[12, 13, 16, 8, 1]",19.37570817533852,9.106608045257955,0.22854232788085938
clusters,NN2,32,32,2,40000000000.0,SDM,8.0,1,T,6,5.5685410227346015,15.837641152815166,"[24, 25, 32, 16, 1]",8.418089565294962e-05,8.315288994769223e-05,7.830057052573925e-07,1.2181349825800326e-06,5.560824639999998e-08,4.863477760000004e-06,4.6445440000000005e-06,1.2768558252639397e-06,0.00036662558,0.000378684200814244,3.0,880.0,559.0,4.6429697027575503e-07,3.1870873498163743e-07,0.0,8.418089565294962e-05,8.418089565294962e-05,32,8.370560153530255e-05,0.00037709725507395313,"[24, 25, 32, 16, 1]",25.682862381470713,15.413762251390148,0.25052690505981445
clusters,NN2,64,16,1,40000000000.0,SDM,8.0,1,T,6,4.947220679174958,15.216320809255523,"[64, 49, 63, 32, 1]",8.485766845505234e-05,8.315288994769223e-05,1.459778507360111e-06,2.0964489106104415e-06,1.1042314239999983e-07,1.0023924479999984e-05,9.358912e-06,2.574242230252468e-06,0.00036662558,0.0003907895307632629,6.0,3646.0,2976.0,8.544480772094674e-07,6.053304301506438e-07,0.0,8.485766845505234e-05,8.485766845505234e-05,64,8.371472727858176e-05,0.0003858359109663264,"[47, 49, 63, 32, 1]",34.31630808861814,24.047207958537577,0.44718456268310547
clusters,NN2,8,128,8,40000000000.0,SDM,8.0,8,R,6,7.689861366294243,17.95896149637481,"[6, 7, 8, 4, 1]",0.00024024896851882106,0.0002211430677290837,1.7145900789737407e-05,1.2496611923387926e-05,3.5002900479999997e-07,1.703456768e-05,0.00063842304,9.110240886233694e-07,0.0018308307599999999,0.002500046032696811,1.0,81.0,0.0,1.0791330110556818e-06,1.6066767778681725e-05,3.0,0.00024024896851882106,0.00024024896851882106,8,0.0002402489685188211,0.0025009710781030894,"[6, 7, 8, 4, 1]",14.373835343444899,4.104735213364334,0.23833370208740234
clusters,NN2,16,64,4,40000000000.0,SDM,8.0,8,R,6,6.44722067917496,16.716320809255524,"[12, 13, 16, 8, 1]",0.00024207425898232804,0.0002211430677290837,1.8971191253244387e-05,2.1390438974980294e-05,7.976190464e-07,3.874430975999999e-05,0.000643356672,1.8358911801219758e-06,0.0018308307599999999,0.002536955690961502,2.0,287.0,126.0,2.0915832669656223e-06,1.6879607986278766e-05,3.0,0.00024207425898232804,0.00024207425898232804,16,0.00024105867074703395,0.002532896238410686,"[12, 13, 16, 8, 1]",19.37570817533852,9.106608045257955,0.2355184555053711
clusters,NN2,32,32,2,40000000000.0,SDM,8.0,8,R,6,5.5685410227346015,15.837641152815166,"[28, 25, 32, 16, 1]",0.0002517516616696352,0.0002211430677290837,2.864859394055151e-05,4.8205571484108974e-05,2.2005995520000006e-06,0.00010444175360000008,0.000653223936,3.818569204205027e-06,0.0018308307599999999,0.002642721189840314,3.0,912.0,583.0,3.1819440290992836e-06,2.5466649911452227e-05,0.0,0.0002523728381402234,0.0002523728381402234,32,0.0002426775194401814,0.0025962692699648586,"[24, 25, 32, 16, 1]",25.682862381470713,15.413762251390148,0.254270076751709
clusters,NN2,64,16,1,40000000000.0,SDM,8.0,8,R,6,4.947220679174958,15.216320809255523,"[51, 49, 63, 32, 1]",0.0003138343168246791,0.0002211430677290837,9.073124909559541e-05,0.00013400851200224634,7.058431488000014e-06,0.00032168157184,0.0006727577600000001,9.520477835193465e-06,0.0018308307599999999,0.00297585751316544,6.0,3451.0,2807.0,6.179742194856525e-06,8.455150690073888e-05,0.0,0.000315283728589385,0.0003150249050599732,63,0.000256428601557423,0.002722225034924442,"[64, 49, 63, 32, 1]",34.31630808861814,24.047207958537577,0.45763659477233887
clusters,NN2,8,128,8,40000000000.0,SDM,8.0,8,T,6,7.689861366294243,17.95896149637481,"[6, 7, 8, 4, 1]",0.00023383706338264918,0.00023011673853700842,1.7603248456407753e-06,5.593597394141627e-06,1.566761728e-07,1.0559733759999999e-05,1.1032063999999999e-05,8.867101443470057e-07,0.00207763348,0.0021058622614712886,1.0,81.0,0.0,1.0791330110556818e-06,6.811918345850935e-07,0.0,0.00023383706338264918,0.00023383706338264918,8,0.00023383706338264915,0.002106276320226233,"[6, 7, 8, 4, 1]",14.373835343444899,4.104735213364334,0.23186039924621582
clusters,NN2,16,64,4,40000000000.0,SDM,8.0,8,T,6,6.44722067917496,16.716320809255524,"[12, 13, 16, 8, 1]",0.00023550284624741024,0.00023011673853700842,3.4261077104018328e-06,7.632233947343505e-06,2.8459514879999977e-07,2.09044992e-05,1.9740160000000002e-05,1.786053585940359e-06,0.00207763348,0.002127981021882084,2.0,287.0,126.0,2.0915832669656223e-06,1.3345244434362107e-06,0.0,0.00023550284624741024,0.00023550284624741024,16,0.00023385461095329257,0.0021225844750760487,"[12, 13, 16, 8, 1]",19.37570817533852,9.106608045257955,0.23987674713134766
clusters,NN2,32,32,2,40000000000.0,SDM,8.0,8,T,6,5.5685410227346015,15.837641152815166,"[24, 25, 32, 16, 1]",0.00023726297953638345,0.00023011673853700842,5.186240999375039e-06,9.74507986064026e-06,4.4486597119999987e-07,3.890782208000003e-05,3.7156352000000004e-05,3.598804873607864e-06,0.00207763348,0.002167486404785448,3.0,880.0,559.0,3.1819440290992836e-06,2.0042969702757552e-06,0.0,0.00023726297953638345,0.00023726297953638345,32,0.0002338888618893246,0.0021547973343360623,"[24, 25, 32, 16, 1]",25.682862381470713,15.413762251390148,0.26004457473754883
clusters,NN2,64,16,1,40000000000.0,SDM,8.0,8,T,6,4.947220679174958,15.216320809255523,"[64, 49, 63, 32, 1]",0.00024202916410319205,0.00023011673853700842,9.952425566183637e-06,1.6771591284883532e-05,8.833851391999986e-07,8.019139583999988e-05,7.4871296e-05,7.342196722234434e-06,0.00207763348,0.002257693344986318,6.0,3646.0,2976.0,5.9726833713271135e-06,3.9797421948565245e-06,0.0,0.00024202916410319205,0.00024202916410319205,64,0.00023414591316756915,0.0022181026184186783,"[47, 49, 63, 32, 1]",34.31630808861814,24.047207958537577,0.4357743263244629
