tag,net,C,c,k,B,mux,P_lane_max,mu,bwd,F,P_lane_dbm,IL_window,acl,T,comp,comm,E_laser,E_tune,E_dyn,E_fab,E_leak,E_comp,E_total,max_chain,segments,relays,commF,commB,fabric_bound,T_max,T_bf,u_bf,T_ideal,E_ideal,acl_ideal,IL_ideal,P_ideal_dbm,secs
main,NN1,64,16,1,40000000000.0,SDM,8.0,1,R,6,4.947220679174958,15.216320809255523,"[63, 32, 1]",4.886311823226235e-05,4.479370517928287e-05,3.824413052979471e-06,3.690379230618079e-06,1.9437786880000032e-07,8.80605696000001e-06,1.7296e-05,1.4823115546939105e-06,9.258069999999999e-05,0.000124049825614112,6.0,1049.0,829.0,3.5279476178385343e-07,3.471618291195618e-06,0.0,4.886311823226235e-05,4.886311823226235e-05,63,4.67484123499094e-05,0.00011692676026866137,"[63, 32, 1]",34.31630808861814,24.047207958537577,2.4293770790100098
main,NN1,64,16,4,40000000000.0,SDM,8.0,1,R,6,4.947220679174958,15.216320809255523,"[63, 32, 1]",4.6090471173438815e-05,4.479370517928287e-05,1.051765994155942e-06,3.690379230618079e-06,1.9437786880000032e-07,8.80605696000001e-06,1.7296e-05,1.3982005335174399e-06,9.258069999999999e-05,0.00012396571459293552,6.0,1049.0,829.0,1.3603005590150047e-07,9.157359382544416e-07,0.0,4.6090471173438815e-05,4.6090471173438815e-05,63,4.589111445982451e-05,0.00011690075327986776,"[63, 32, 1]",34.31630808861814,24.047207958537577,0.1874830722808838
main,NN1,64,16,1,40000000000.0,SDM,8.0,1,T,6,4.947220679174958,15.216320809255523,"[63, 32, 1]",4.3396077364281684e-05,4.2565193723066915e-05,5.858836412147657e-07,5.477052755403321e-07,2.8848467200000183e-08,2.404824320000001e-06,2.1225600000000004e-06,1.3164634029228492e-06,0.00010774569999999999,0.00011416610146566317,6.0,1049.0,829.0,3.5279476178385343e-07,2.3308887943091225e-07,0.0,4.3396077364281684e-05,4.3396077364281684e-05,63,4.2950783246634624e-05,0.00011308384787113954,"[63, 32, 1]",34.31630808861814,24.047207958537577,0.18920540809631348
main,NN1,64,16,4,40000000000.0,SDM,8.0,1,T,6,4.947220679174958,15.216320809255523,"[63, 32, 1]",4.305313618781109e-05,4.2565193723066915e-05,2.4294246474417744e-07,5.477052755403321e-07,2.8848467200000183e-08,2.404824320000001e-06,2.1225600000000004e-06,1.3060599393934372e-06,0.00010774569999999999,0.00011415569800213376,6.0,1049.0,829.0,1.3603005590150047e-07,1.0691240884267694e-07,0.0,4.305313618781109e-05,4.305313618781109e-05,63,4.290186770949091e-05,0.00011308236396940474,"[63, 32, 1]",34.31630808861814,24.047207958537577,0.17966270446777344
main,NN1,64,16,1,40000000000.0,SDM,8.0,8,R,6,4.947220679174958,15.216320809255523,"[63, 32, 1]",0.00014401264834709715,0.00011232000000000002,2.973264834709712e-05,2.9523033844944634e-05,1.5550229504000026e-06,7.044845568000008e-05,0.000138368,4.368767700257539e-06,0.0005599741999999999,0.0008042374801756022,6.0,1049.0,829.0,2.3910300559015e-06,2.7341618291195618e-05,0.0,0.00014401264834709715,0.00014401264834709715,63,0.0001277056452187961,0.0007472714819062735,"[63, 32, 1]",34.31630808861814,24.047207958537577,0.2120368480682373
main,NN1,64,16,4,40000000000.0,SDM,8.0,8,R,6,4.947220679174958,15.216320809255523,"[63, 32, 1]",0.00012180558952356773,0.00011232000000000002,7.5255895235677075e-06,2.9523033844944634e-05,1.5550229504000026e-06,7.044845568000008e-05,0.000138368,3.6950943637869503e-06,0.0005599741999999999,0.0008035638068391316,6.0,1049.0,829.0,6.439712323720887e-07,6.881618291195619e-06,0.0,0.00012180558952356773,0.00012180558952356773,63,0.0001210046151628946,0.0007470681994584977,"[63, 32, 1]",34.31630808861814,24.047207958537577,0.1926898956298828
main,NN1,64,16,1,40000000000.0,SDM,8.0,8,T,6,4.947220679174958,15.216320809255523,"[63, 32, 1]",0.00011258247835910194,0.00010679806530612246,3.8244130529794705e-06,4.381642204322657e-06,2.3078773760000147e-07,1.9238594560000006e-05,1.6980480000000003e-05,3.4153020635017164e-06,0.0006105942,0.0006548410065654244,6.0,1049.0,829.0,2.3910300559015e-06,1.4333829970779708e-06,0.0,0.00011258247835910194,0.00011258247835910194,63,0.00010963076934844795,0.0006462015023035116,"[63, 32, 1]",34.31630808861814,24.047207958537577,0.18204808235168457
main,NN1,64,16,4,40000000000.0,SDM,8.0,8,T,6,4.947220679174958,15.216320809255523,"[63, 32, 1]",0.00010980659600616076,0.00010679806530612246,1.048530700038295e-06,4.381642204322657e-06,2.3078773760000147e-07,1.9238594560000006e-05,1.6980480000000003e-05,3.3310928964428926e-06,0.0006105942,0.0006547567973983655,6.0,1049.0,829.0,6.439712323720887e-07,4.0455946766620633e-07,0.0,0.00010980659600616076,0.00010980659600616076,63,0.00010939032752784056,0.0006461942082604417,"[63, 32, 1]",34.31630808861814,24.047207958537577,0.18802380561828613
main,NN1,64,16,1,40000000000.0,SDM,8.0,16,R,6,4.947220679174958,15.216320809255523,"[63, 32, 1]",0.000245022060111803,0.00018176,5.9342060111803e-05,5.904606768988927e-05,3.110045900800005e-06,0.00014089691136000016,0.000276736,7.432989215551656e-06,0.0010941382,0.0015813602141662411,6.0,1049.0,829.0,4.720441820607382e-06,5.462161829119562e-05,0.0,0.000245022060111803,0.000245022060111803,63,0.00021249623345409019,0.0014674308926438957,"[63, 32, 1]",34.31630808861814,24.047207958537577,0.2000129222869873
main,NN1,64,16,4,40000000000.0,SDM,8.0,16,R,6,4.947220679174958,15.216320809255523,"[63, 32, 1]",0.00020060794246474416,0.00018176,1.4927942464744177e-05,5.904606768988927e-05,3.110045900800005e-06,0.00014089691136000016,0.000276736,6.085642542610479e-06,0.0010941382,0.0015800128674932998,6.0,1049.0,829.0,1.2263241735485592e-06,1.3701618291195618e-05,0.0,0.00020060794246474416,0.00020060794246474416,63,0.00019911755633936519,0.0014670250370949433,"[63, 32, 1]",34.31630808861814,24.047207958537577,0.19099140167236328
main,NN1,64,16,1,40000000000.0,SDM,8.0,16,T,6,4.947220679174958,15.216320809255523,"[63, 32, 1]",0.0001848842548296902,0.00017343866530612247,7.525589523567706e-06,8.763284408645314e-06,4.6157547520000293e-07,3.847718912000001e-05,3.3960960000000006e-05,5.608648754513481e-06,0.0011852782,0.0012725498577583587,6.0,1049.0,829.0,4.720441820607382e-06,2.8051477029603237e-06,0.0,0.0001848842548296902,0.0001848842548296902,63,0.00017906901640727147,0.0012552735242508453,"[63, 32, 1]",34.31630808861814,24.047207958537577,0.18413162231445312
main,NN1,64,16,4,40000000000.0,SDM,8.0,16,T,6,4.947220679174958,15.216320809255523,"[63, 32, 1]",0.00017933249012380781,0.00017343866530612247,1.9738248176853536e-06,8.763284408645314e-06,4.6157547520000293e-07,3.847718912000001e-05,3.3960960000000006e-05,5.4402304203958336e-06,0.0011852782,0.001272381439424241,6.0,1049.0,829.0,1.2263241735485592e-06,7.475006441367945e-07,0.0,0.00017933249012380781,0.00017933249012380781,63,0.00017861151576313466,0.0012552596455113047,"[63, 32, 1]",34.31630808861814,24.047207958537577,0.1830451488494873
main,NN1,64,16,1,40000000000.0,SDM,8.0,32,R,6,4.947220679174958,15.216320809255523,"[63, 32, 1]",0.0004683508836412148,0.00034195000000000004,0.00011856088364121477,0.00011809213537977853,6.22009180160001e-06,0.0002817938227200003,0.000553472,1.4207892406139892e-05,0.0021624661999999997,0.003136252142307518,6.0,1049.0,829.0,9.379265350019146e-06,0.00010918161829119562,0.0,0.0004683508836412148,0.0004683508836412148,63,0.0004033874099246785,0.0029083961742791395,"[63, 32, 1]",34.31630808861814,24.047207958537577,0.19182705879211426
main,NN1,64,16,4,40000000000.0,SDM,8.0,32,R,6,4.947220679174958,15.216320809255523,"[63, 32, 1]",0.0003795226483470971,0.00034195000000000004,2.973264834709712e-05,0.00011809213537977853,6.22009180160001e-06,0.0002817938227200003,0.000553472,1.1513199060257538e-05,0.0021624661999999997,0.003133557448961636,6.0,1049.0,829.0,2.3910300559015e-06,2.7341618291195618e-05,0.0,0.0003795226483470971,0.0003795226483470971,63,0.0003766534386923064,0.0029075851725278343,"[63, 32, 1]",34.31630808861814,24.047207958537577,0.20085549354553223
main,NN1,64,16,1,40000000000.0,SDM,8.0,32,T,6,4.947220679174958,15.216320809255523,"[63, 32, 1]",0.000346846579199438,0.00032407863673469383,1.4927942464744176e-05,1.7526568817290627e-05,9.231509504000059e-07,7.695437824000003e-05,6.792192000000001e-05,1.0521937826594152e-05,0.0023346461999999998,0.0025084941558342847,6.0,1049.0,829.0,9.379265350019146e-06,5.548677114725029e-06,0.0,0.000346846579199438,0.000346846579199438,63,0.00033530428195348993,0.0024739441638355697,"[63, 32, 1]",34.31630808861814,24.047207958537577,0.18079185485839844
main,NN1,64,16,4,40000000000.0,SDM,8.0,32,T,6,4.947220679174958,15.216320809255523,"[63, 32, 1]",0.0003357430497876733,0.00032407863673469383,3.8244130529794705e-06,1.7526568817290627e-05,9.231509504000059e-07,7.695437824000003e-05,6.792192000000001e-05,1.0185101158358857e-05,0.0023346461999999998,0.002508157319166049,6.0,1049.0,829.0,2.3910300559015e-06,1.4333829970779708e-06,0.0,0.0003357430497876733,0.0003357430497876733,63,0.0003344126636622943,0.0024739171157030877,"[63, 32, 1]",34.31630808861814,24.047207958537577,0.18414664268493652
main,NN2,64,16,1,40000000000.0,SDM,8.0,1,R,6,4.947220679174958,15.216320809255523,"[51, 49, 63, 32, 1]",9.191412348040909e-05,8.011199203187251e-05,1.1557131448536583e-05,1.6751064000280793e-05,8.823039360000018e-07,4.021019648e-05,8.409472000000001e-05,2.7883068499016897e-06,0.00029263773999999997,0.00043736433126618244,6.0,3451.0,2807.0,8.803304301506438e-07,1.067680101838594e-05,0.0,9.209529995099733e-05,9.206294700982085e-05,63,8.459177053923263e-05,0.00040565582305952764,"[64, 49, 63, 32, 1]",34.31630808861814,24.047207958537577,0.46008801460266113
main,NN2,64,16,4,40000000000.0,SDM,8.0,1,R,6,4.947220679174958,15.216320809255523,"[51, 49, 63, 32, 1]",8.343441759805614e-05,8.011199203187251e-05,3.0774255661836403e-06,1.6751064000280793e-05,8.823039360000018e-07,4.021019648e-05,8.409472000000001e-05,2.531066492254631e-06,0.00029263773999999997,0.0004371070909085354,6.0,3451.0,2807.0,3.1415395956240855e-07,2.7632716066212317e-06,0.0,8.347971171570321e-05,8.34732411274679e-05,63,8.263690131241415e-05,0.0004055564455906442,"[47, 49, 63, 32, 1]",34.31630808861814,24.047207958537577,0.47562623023986816
main,NN2,64,16,1,40000000000.0,SDM,8.0,1,T,6,4.947220679174958,15.216320809255523,"[64, 49, 63, 32, 1]",8.485766845505234e-05,8.315288994769223e-05,1.459778507360111e-06,2.0964489106104415e-06,1.1042314239999983e-07,1.0023924479999984e-05,9.358912e-06,2.574242230252468e-06,0.00036662558,0.0003907895307632629,6.0,3646.0,2976.0,8.544480772094674e-07,6.053304301506438e-07,0.0,8.485766845505234e-05,8.485766845505234e-05,64,8.371472727858176e-05,0.0003858359109663264,"[47, 49, 63, 32, 1]",34.31630808861814,24.047207958537577,0.44639086723327637
main,NN2,64,16,4,40000000000.0,SDM,8.0,1,T,6,4.947220679174958,15.216320809255523,"[64, 49, 63, 32, 1]",8.395178610211116e-05,8.315288994769223e-05,5.538961544189347e-07,2.0964489106104415e-06,1.1042314239999983e-07,1.0023924479999984e-05,9.358912e-06,2.546761383193644e-06,0.00036662558,0.00039076204991620405,6.0,3646.0,2976.0,3.0768337132711445e-07,2.4621278309182024e-07,0.0,8.395178610211116e-05,8.395178610211116e-05,64,8.363912275764563e-05,0.00038583361742757926,"[47, 49, 63, 32, 1]",34.31630808861814,24.047207958537577,0.43573594093322754
main,NN2,64,16,1,40000000000.0,SDM,8.0,8,R,6,4.947220679174958,15.216320809255523,"[51, 49, 63, 32, 1]",0.0003138343168246791,0.0002211430677290837,9.073124909559541e-05,0.00013400851200224634,7.058431488000014e-06,0.00032168157184,0.0006727577600000001,9.520477835193465e-06,0.0018308307599999999,0.00297585751316544,6.0,3451.0,2807.0,6.179742194856525e-06,8.455150690073888e-05,0.0,0.000315283728589385,0.0003150249050599732,63,0.000256428601557423,0.002722225034924442,"[64, 49, 63, 32, 1]",34.31630808861814,24.047207958537577,0.4695408344268799
main,NN2,64,16,4,40000000000.0,SDM,8.0,8,R,6,4.947220679174958,15.216320809255523,"[51, 49, 63, 32, 1]",0.00024597078741291436,0.0002211430677290837,2.2867719683830698e-05,0.00013400851200224634,7.058431488000014e-06,0.00032168157184,0.0006727577600000001,7.46176980695817e-06,0.0018308307599999999,0.0029737988051372045,6.0,3451.0,2807.0,1.6373892536800555e-06,2.1230330430150643e-05,0.0,0.0002463331403540908,0.0002462684344717379,63,0.00024124768289197825,0.0027214439101276573,"[47, 49, 63, 32, 1]",34.31630808861814,24.047207958537577,0.4635908603668213
main,NN2,64,16,1,40000000000.0,SDM,8.0,8,T,6,4.947220679174958,15.216320809255523,"[64, 49, 63, 32, 1]",0.00024202916410319205,0.00023011673853700842,9.952425566183637e-06,1.6771591284883532e-05,8.833851391999986e-07,8.019139583999988e-05,7.4871296e-05,7.342196722234434e-06,0.00207763348,0.002257693344986318,6.0,3646.0,2976.0,5.9726833713271135e-06,3.9797421948565245e-06,0.0,0.00024202916410319205,0.00024202916410319205,64,0.00023414591316756915,0.0022181026184186783,"[47, 49, 63, 32, 1]",34.31630808861814,24.047207958537577,0.43257832527160645
