net,mu,bwd,k,D_cfg,T,T_max,acl
NN2,1,R,1,1e-07,9.263412348040909e-05,9.281529995099732e-05,"[51, 49, 63, 32, 1]"
NN2,1,R,1,1e-06,9.983412348040908e-05,0.00010001529995099732,"[51, 49, 63, 32, 1]"
NN2,1,R,4,1e-09,8.336241759805616e-05,8.340771171570321e-05,"[51, 49, 63, 32, 1]"
NN2,1,R,4,1e-08,8.343441759805615e-05,8.347971171570321e-05,"[51, 49, 63, 32, 1]"
NN2,1,R,4,1e-07,8.415441759805616e-05,8.41997117157032e-05,"[51, 49, 63, 32, 1]"
NN2,1,R,4,1e-06,9.135441759805614e-05,9.13997117157032e-05,"[51, 49, 63, 32, 1]"
NN2,1,T,1,1e-09,8.478566845505233e-05,8.478566845505235e-05,"[64, 49, 63, 32, 1]"
NN2,1,T,1,1e-08,8.485766845505234e-05,8.485766845505234e-05,"[64, 49, 63, 32, 1]"
NN2,1,T,1,1e-07,8.557766845505233e-05,8.557766845505235e-05,"[64, 49, 63, 32, 1]"
NN2,1,T,1,1e-06,9.277766845505233e-05,9.277766845505233e-05,"[64, 49, 63, 32, 1]"
NN2,1,T,4,1e-09,8.387978610211115e-05,8.387978610211117e-05,"[64, 49, 63, 32, 1]"
NN2,1,T,4,1e-08,8.395178610211118e-05,8.395178610211116e-05,"[64, 49, 63, 32, 1]"
NN2,1,T,4,1e-07,8.467178610211116e-05,8.467178610211116e-05,"[64, 49, 63, 32, 1]"
NN2,1,T,4,1e-06,9.187178610211114e-05,9.187178610211117e-05,"[64, 49, 63, 32, 1]"
NN2,8,R,1,1e-09,0.0003137623168246791,0.0003152117285893849,"[51, 49, 63, 32, 1]"
NN2,8,R,1,1e-08,0.0003138343168246791,0.000315283728589385,"[51, 49, 63, 32, 1]"
NN2,8,R,1,1e-07,0.00031455431682467905,0.0003160037285893849,"[51, 49, 63, 32, 1]"
NN2,8,R,1,1e-06,0.0003217543168246791,0.000323203728589385,"[51, 49, 63, 32, 1]"
NN2,8,R,4,1e-09,0.00024589878741291437,0.0002462611403540908,"[51, 49, 63, 32, 1]"
NN2,8,R,4,1e-08,0.0002459707874129144,0.0002463331403540908,"[51, 49, 63, 32, 1]"
NN2,8,R,4,1e-07,0.00024669078741291437,0.0002470531403540908,"[51, 49, 63, 32, 1]"
