net,mu,bwd,tree,B_e,alloc,T
NN1,1,T,1,10000000000.0,"[1000, 500, 10]",5.578609960541986e-05
NN1,1,T,1,13335214321.63324,"[1000, 500, 10]",5.257194006839312e-05
NN1,1,T,1,17782794100.38923,"[1000, 500, 10]",5.0161660443706075e-05
NN1,1,T,1,23713737056.61655,"[1000, 500, 10]",4.835420571028126e-05
NN1,1,T,1,31622776601.683792,"[1000, 500, 10]",4.699880587205545e-05
NN1,1,T,1,42169650342.85822,"[1000, 500, 10]",4.598239938203977e-05
NN1,1,T,1,56234132519.034904,"[1000, 500, 10]",4.522020204084908e-05
NN1,1,T,1,74989420933.24557,"[1000, 500, 10]",4.464863466832159e-05
NN1,1,T,1,100000000000.0,"[1000, 500, 10]",4.422001960541986e-05
NN1,1,T,1,133352143216.3324,"[1000, 500, 10]",4.389860365171719e-05
NN1,1,T,1,177827941003.89227,"[1000, 500, 10]",4.365757568924848e-05
NN1,1,T,1,237137370566.16553,"[1000, 500, 10]",4.3476830215906e-05
NN1,1,T,1,316227766016.83795,"[1000, 500, 10]",4.334129023208342e-05
NN1,1,T,1,421696503428.5823,"[1000, 500, 10]",4.3239649583081854e-05
NN1,1,T,1,562341325190.3491,"[1000, 500, 10]",4.316342984896278e-05
NN1,1,T,1,749894209332.4558,"[1000, 500, 10]",4.3106273111710036e-05
NN1,1,T,1,1000000000000.0,"[1000, 500, 10]",4.306341160541986e-05
NN1,1,T,1,1333521432163.324,"[1000, 500, 10]",4.303127001004959e-05
NN1,1,T,1,1778279410038.9229,"[1000, 500, 10]",4.3007167213802724e-05
NN1,1,T,1,2371373705661.6553,"[1000, 500, 10]",4.298909266646848e-05
NN1,1,T,1,3162277660168.3794,"[1000, 500, 10]",4.297553866808622e-05
NN1,1,T,1,4216965034285.8223,"[1000, 500, 10]",4.296537460318606e-05
NN1,1,T,1,5623413251903.491,"[1000, 500, 10]",4.295775262977415e-05
NN1,1,T,1,7498942093324.559,"[1000, 500, 10]",4.2952036956048876e-05
NN1,1,T,1,10000000000000.0,"[1000, 500, 10]",4.294775080541986e-05
NN1,1,T,1,1e+18,"[1000, 500, 10]",4.293489973393186e-05
NN1,1,T,1,435200000000.0,"[1000, 500, 10]",4.3230193723066917e-05
NN1,1,T,0,1000000000.0,"[175, 175, 10]",0.0002031667596647151
NN1,1,T,0,1333521432.163324,"[175, 175, 10]",0.00016620712634302808
NN1,1,T,0,1778279410.0389228,"[175, 175, 10]",0.00013849131133604413
NN1,1,T,0,2371373705.6616554,"[175, 175, 10]",0.00011770738215537727
NN1,1,T,0,3162277660.1683793,"[175, 175, 10]",0.00010212163401561935
NN1,1,T,0,4216965034.2858224,"[250, 175, 10]",9.027441086864234e-05
NN1,1,T,0,5623413251.903491,"[250, 175, 10]",8.062168258852325e-05
NN1,1,T,0,7498942093.324558,"[250, 175, 10]",7.33831575470023e-05
NN1,1,T,0,10000000000.0,"[350, 175, 10]",6.775772687339997e-05
NN1,1,T,0,13335214321.63324,"[350, 175, 10]",6.31877938663226e-05
NN1,1,T,0,17782794100.38923,"[350, 175, 10]",5.976082756727803e-05
NN1,1,T,0,23713737056.61655,"[500, 175, 10]",5.7041945367613515e-05
NN1,1,T,0,31622776601.683792,"[500, 250, 10]",5.472090791724787e-05
NN1,1,T,0,42169650342.85822,"[500, 250, 10]",5.2763515538318276e-05
NN1,1,T,0,56234132519.034904,"[500, 250, 10]",5.129567832796749e-05
NN1,1,T,0,74989420933.24557,"[500, 500, 10]",5.002204509029966e-05
NN1,1,T,0,100000000000.0,"[500, 500, 10]",4.881005488753271e-05
NN1,1,T,0,133352143216.3324,"[500, 500, 10]",4.790119045271011e-05
NN1,1,T,0,177827941003.89227,"[500, 500, 10]",4.7219638275968425e-05
NN1,1,T,0,237137370566.16553,"[500, 500, 10]",4.67085462452719e-05
NN1,1,T,0,316227766016.83795,"[500, 500, 10]",4.632528129101662e-05
NN1,1,T,0,421696503428.5823,"[500, 500, 10]",4.603787312118051e-05
NN1,1,T,0,562341325190.3491,"[1000, 500, 10]",4.532467951274769e-05
NN1,1,T,0,749894209332.4558,"[1000, 500, 10]",4.472698171950405e-05
NN1,1,T,0,1000000000000.0,"[1000, 500, 10]",4.427877160541986e-05
NN1,1,T,0,1333521432163.324,"[1000, 500, 10]",4.394266143630389e-05
NN1,1,T,0,1778279410038.9229,"[1000, 500, 10]",4.3690614366786066e-05
NN1,1,T,0,2371373705661.6553,"[1000, 500, 10]",4.350160572887543e-05
NN1,1,T,0,3162277660168.3794,"[1000, 500, 10]",4.335986924579244e-05
NN1,1,T,0,4216965034285.8223,"[1000, 500, 10]",4.325358187787736e-05
NN1,1,T,0,5623413251903.491,"[1000, 500, 10]",4.3173877596152644e-05
NN1,1,T,0,7498942093324.559,"[1000, 500, 10]",4.311410781682828e-05
NN1,1,T,0,10000000000000.0,"[1000, 500, 10]",4.306928680541986e-05
NN1,1,T,0,1e+18,"[1000, 500, 10]",4.293490094929186e-05
NN1,1,T,0,435200000000.0,"[500, 500, 10]",4.601113488753271e-05
NN1,8,R,1,1000000000.0,"[500, 125, 10]",0.0016721954534253702
NN1,8,R,1,1333521432.163324,"[500, 125, 10]",0.0012895696089378836
NN1,8,R,1,1778279410.0389228,"[500, 125, 10]",0.0010026407038157769
NN1,8,R,1,2371373705.6616554,"[500, 125, 10]",0.0007874743793746073
NN1,8,R,1,3162277660.1683793,"[500, 125, 10]",0.0006261223986328258
NN1,8,R,1,4216965034.2858224,"[500, 125, 10]",0.0005051254826102418
NN1,8,R,1,5623413251.903491,"[500, 125, 10]",0.00041439059593782073
NN1,8,R,1,7498942093.324558,"[512, 167, 10]",0.00034425427749180975
NN1,8,R,1,10000000000.0,"[512, 167, 10]",0.0002920212992287096
NN1,8,R,1,13335214321.63324,"[512, 167, 10]",0.0002528520912930227
NN1,8,R,1,17782794100.38923,"[512, 167, 10]",0.00022347932907791222
NN1,8,R,1,23713737056.61655,"[512, 167, 10]",0.00020145286478070177
NN1,8,R,1,31622776601.683792,"[512, 167, 10]",0.00018493534675215553
NN1,8,R,1,42169650342.85822,"[512, 167, 10]",0.00017254895563000426
NN1,8,R,1,56234132519.034904,"[500, 250, 10]",0.00016178075116501337
NN1,8,R,1,74989420933.24557,"[500, 250, 10]",0.0001536877215157596
NN1,8,R,1,100000000000.0,"[500, 250, 10]",0.00014761880544582833
NN1,8,R,1,133352143216.3324,"[500, 500, 10]",0.00014202478546208137
NN1,8,R,1,177827941003.89227,"[500, 500, 10]",0.00013711204021909376
NN1,8,R,1,237137370566.16553,"[500, 500, 10]",0.00013342800100945177
NN1,8,R,1,316227766016.83795,"[500, 500, 10]",0.00013066536133918754
NN1,8,R,1,421696503428.5823,"[500, 500, 10]",0.00012859367384798425
NN1,8,R,1,562341325190.3491,"[500, 500, 10]",0.00012704012739478445
NN1,8,R,1,749894209332.4558,"[1000, 500, 10]",0.00012530237796652216
NN1,8,R,1,1000000000000.0,"[1000, 500, 10]",0.00012325373457623053
NN1,8,R,1,1333521432163.324,"[1000, 500, 10]",0.00012171746876086358
NN1,8,R,1,1778279410038.9229,"[1000, 500, 10]",0.00012056543192192453
NN1,8,R,1,2371373705661.6553,"[1000, 500, 10]",0.00011970152616746646
NN1,8,R,1,3162277660168.3794,"[1000, 500, 10]",0.00011905368824478937
NN1,8,R,1,4216965034285.8223,"[1000, 500, 10]",0.00011856787833798785
NN1,8,R,1,5623413251903.491,"[1000, 500, 10]",0.00011820357230204105
NN1,8,R,1,7498942093324.559,"[1000, 500, 10]",0.00011793038131525967
NN1,8,R,1,10000000000000.0,"[1000, 500, 10]",0.00011772551697623052
NN1,8,R,1,1e+18,"[1000, 500, 10]",0.00011711127671869452
NN1,8,R,1,435200000000.0,"[500, 500, 10]",0.00012840094006377552
NN1,8,R,0,1000000000.0,"[500, 125, 10]",0.0016721954534253702
NN1,8,R,0,1333521432.163324,"[500, 125, 10]",0.0012895696089378836
NN1,8,R,0,1778279410.0389228,"[500, 125, 10]",0.0010026407038157769
NN1,8,R,0,2371373705.6616554,"[500, 125, 10]",0.0007874743793746073
NN1,8,R,0,3162277660.1683793,"[500, 125, 10]",0.0006261223986328258
NN1,8,R,0,4216965034.2858224,"[500, 125, 10]",0.0005051254826102418
NN1,8,R,0,5623413251.903491,"[500, 125, 10]",0.00041439059593782073
NN1,8,R,0,7498942093.324558,"[500, 125, 10]",0.00034634902983773555
NN1,8,R,0,10000000000.0,"[500, 125, 10]",0.0002953250534253701
NN1,8,R,0,13335214321.63324,"[500, 125, 10]",0.0002570624689766215
NN1,8,R,0,17782794100.38923,"[512, 167, 10]",0.00022546021013637474
NN1,8,R,0,23713737056.61655,"[512, 167, 10]",0.00020293831601581915
NN1,8,R,0,31622776601.683792,"[512, 167, 10]",0.00018604927803161578
NN1,8,R,0,42169650342.85822,"[512, 167, 10]",0.0001733842862460658
NN1,8,R,0,56234132519.034904,"[512, 167, 10]",0.00016388688224483876
NN1,8,R,0,74989420933.24557,"[512, 167, 10]",0.0001567648339806277
NN1,8,R,0,100000000000.0,"[500, 250, 10]",0.0001504962454458283
NN1,8,R,0,133352143216.3324,"[500, 250, 10]",0.00014522553602176375
NN1,8,R,0,177827941003.89227,"[500, 250, 10]",0.00014127306154558373
NN1,8,R,0,237137370566.16553,"[500, 500, 10]",0.00013800958170846208
NN1,8,R,0,316227766016.83795,"[500, 500, 10]",0.00013410106217496472
NN1,8,R,0,421696503428.5823,"[500, 500, 10]",0.00013117008600973225
NN1,8,R,0,562341325190.3491,"[500, 500, 10]",0.00012897216395573295
NN1,8,R,0,749894209332.4558,"[500, 500, 10]",0.00012732395493487481
NN1,8,R,0,1000000000000.0,"[500, 500, 10]",0.00012608797253436377
NN1,8,R,0,1333521432163.324,"[500, 500, 10]",0.0001251611164893837
NN1,8,R,0,1778279410038.9229,"[1000, 500, 10]",0.00012315698866716016
NN1,8,R,0,2371373705661.6553,"[1000, 500, 10]",0.00012164491956387512
NN1,8,R,0,3162277660168.3794,"[1000, 500, 10]",0.00012051102769921116
NN1,8,R,0,4216965034285.8223,"[1000, 500, 10]",0.00011966072875589046
NN1,8,R,0,5623413251903.491,"[1000, 500, 10]",0.00011902309450209277
NN1,8,R,0,7498942093324.559,"[1000, 500, 10]",0.00011854493626749787
NN1,8,R,0,10000000000000.0,"[1000, 500, 10]",0.00011818636817623051
NN1,8,R,0,1e+18,"[1000, 500, 10]",0.00011711128132720651
NN1,8,R,0,435200000000.0,"[500, 500, 10]",0.0001308974106520108
NN1,8,T,1,1000000000.0,"[1000, 500, 10]",0.0011369787711884754
NN1,8,T,1,1333521432.163324,"[1000, 500, 10]",0.0008798460082263358
NN1,8,T,1,1778279410.0389228,"[1000, 500, 10]",0.0006870236382513726
NN1,8,T,1,2371373705.6616554,"[1000, 500, 10]",0.0005424272595773871
NN1,8,T,1,3162277660.1683793,"[1000, 500, 10]",0.00043399527251932244
NN1,8,T,1,4216965034.2858224,"[1000, 500, 10]",0.0003526827533180679
NN1,8,T,1,5623413251.903491,"[1000, 500, 10]",0.00029170696602281304
NN1,8,T,1,7498942093.324558,"[1000, 500, 10]",0.00024598157622061386
NN1,8,T,1,10000000000.0,"[1000, 500, 10]",0.0002116923711884754
NN1,8,T,1,13335214321.63324,"[1000, 500, 10]",0.00018597909489226144
NN1,8,T,1,17782794100.38923,"[1000, 500, 10]",0.0001666968578947651
NN1,8,T,1,23713737056.61655,"[1000, 500, 10]",0.00015223722002736658
NN1,8,T,1,31622776601.683792,"[1000, 500, 10]",0.0001413940213215601
NN1,8,T,1,42169650342.85822,"[1000, 500, 10]",0.00013326276940143467
NN1,8,T,1,56234132519.034904,"[1000, 500, 10]",0.00012716519067190916
NN1,8,T,1,74989420933.24557,"[1000, 500, 10]",0.00012259265169168925
NN1,8,T,1,100000000000.0,"[1000, 500, 10]",0.0001191637311884754
NN1,8,T,1,133352143216.3324,"[1000, 500, 10]",0.000116592403558854
NN1,8,T,1,177827941003.89227,"[1000, 500, 10]",0.00011466417985910437
NN1,8,T,1,237137370566.16553,"[1000, 500, 10]",0.00011321821607236452
NN1,8,T,1,316227766016.83795,"[1000, 500, 10]",0.00011213389620178388
NN1,8,T,1,421696503428.5823,"[1000, 500, 10]",0.00011132077100977133
NN1,8,T,1,562341325190.3491,"[1000, 500, 10]",0.00011071101313681879
NN1,8,T,1,749894209332.4558,"[1000, 500, 10]",0.00011025375923879678
NN1,8,T,1,1000000000000.0,"[1000, 500, 10]",0.0001099108671884754
NN1,8,T,1,1333521432163.324,"[1000, 500, 10]",0.00010965373442551326
NN1,8,T,1,1778279410038.9229,"[1000, 500, 10]",0.0001094609120555383
NN1,8,T,1,2371373705661.6553,"[1000, 500, 10]",0.00010931631567686431
NN1,8,T,1,3162277660168.3794,"[1000, 500, 10]",0.00010920788368980625
NN1,8,T,1,4216965034285.8223,"[1000, 500, 10]",0.00010912657117060499
NN1,8,T,1,5623413251903.491,"[1000, 500, 10]",0.00010906559538330974
NN1,8,T,1,7498942093324.559,"[1000, 500, 10]",0.00010901986999350754
NN1,8,T,1,10000000000000.0,"[1000, 500, 10]",0.0001089855807884754
NN1,8,T,1,1e+18,"[1000, 500, 10]",0.0001088827722165714
NN1,8,T,1,435200000000.0,"[1000, 500, 10]",0.00011124512412965188
NN1,8,T,0,1000000000.0,"[175, 175, 10]",0.0013354879955804447
NN1,8,T,0,1333521432.163324,"[175, 175, 10]",0.0010398109290069486
NN1,8,T,0,1778279410.0389228,"[175, 175, 10]",0.0008180844089510768
NN1,8,T,0,2371373705.6616554,"[175, 175, 10]",0.000651812975505742
NN1,8,T,0,3162277660.1683793,"[175, 175, 10]",0.0005271269903876786
NN1,8,T,0,4216965034.2858224,"[175, 175, 10]",0.0004336256921627301
NN1,8,T,0,5623413251.903491,"[175, 175, 10]",0.00036350961005877415
NN1,8,T,0,7498942093.324558,"[175, 175, 10]",0.0003109299661079386
NN1,8,T,0,10000000000.0,"[250, 175, 10]",0.0002702333922861399
NN1,8,T,0,13335214321.63324,"[250, 175, 10]",0.00023766921817196062
NN1,8,T,0,17782794100.38923,"[250, 175, 10]",0.00021324953257204367
NN1,8,T,0,23713737056.61655,"[350, 175, 10]",0.00019476351558311538
NN1,8,T,0,31622776601.683792,"[350, 175, 10]",0.00017934651742321624
NN1,8,T,0,42169650342.85822,"[350, 175, 10]",0.00016778539977781875
NN1,8,T,0,56234132519.034904,"[500, 250, 10]",0.0001577667999964674
NN1,8,T,0,74989420933.24557,"[500, 250, 10]",0.0001489610190021893
NN1,8,T,0,100000000000.0,"[500, 250, 10]",0.00014235761482593037
NN1,8,T,0,133352143216.3324,"[500, 500, 10]",0.00013679322405323193
NN1,8,T,0,177827941003.89227,"[500, 500, 10]",0.00013134080663929846
NN1,8,T,0,237137370566.16553,"[500, 500, 10]",0.00012725207039372628
NN1,8,T,0,316227766016.83795,"[500, 500, 10]",0.000124185950759684
NN1,8,T,0,421696503428.5823,"[500, 500, 10]",0.00012188668540099515
NN1,8,T,0,562341325190.3491,"[500, 500, 10]",0.00012016247962279565
NN1,8,T,0,749894209332.4558,"[500, 500, 10]",0.0001188695076940263
NN1,8,T,0,1000000000000.0,"[500, 500, 10]",0.00011789991553181275
NN1,8,T,0,1333521432163.324,"[1000, 500, 10]",0.00011694486583554761
NN1,8,T,0,1778279410038.9229,"[1000, 500, 10]",0.00011492848927940504
NN1,8,T,0,2371373705661.6553,"[1000, 500, 10]",0.00011341642017612001
NN1,8,T,0,3162277660168.3794,"[1000, 500, 10]",0.00011228252831145605
NN1,8,T,0,4216965034285.8223,"[1000, 500, 10]",0.00011143222936813535
NN1,8,T,0,5623413251903.491,"[1000, 500, 10]",0.00011079459511433766
NN1,8,T,0,7498942093324.559,"[1000, 500, 10]",0.00011031643687974276
NN1,8,T,0,10000000000000.0,"[1000, 500, 10]",0.0001099578687884754
NN1,8,T,0,1e+18,"[1000, 500, 10]",0.0001088827819394514
NN1,8,T,0,435200000000.0,"[500, 500, 10]",0.00012167277953181274
NN1,16,R,1,1000000000.0,"[500, 125, 10]",0.003303855328068225
NN1,16,R,1,1333521432.163324,"[500, 125, 10]",0.002538603639093252
NN1,16,R,1,1778279410.0389228,"[500, 125, 10]",0.0019647458288490384
NN1,16,R,1,2371373705.6616554,"[500, 125, 10]",0.0015344131799666992
NN1,16,R,1,3162277660.1683793,"[500, 125, 10]",0.0012117092184831361
NN1,16,R,1,4216965034.2858224,"[500, 125, 10]",0.0009697153864379684
NN1,16,R,1,5623413251.903491,"[500, 125, 10]",0.0007882456130931262
NN1,16,R,1,7498942093.324558,"[512, 167, 10]",0.0006466421458538773
NN1,16,R,1,10000000000.0,"[512, 167, 10]",0.0005421761893276769
NN1,16,R,1,13335214321.63324,"[512, 167, 10]",0.00046383777345630317
NN1,16,R,1,17782794100.38923,"[512, 167, 10]",0.0004050922490260822
NN1,16,R,1,23713737056.61655,"[512, 167, 10]",0.00036103932043166125
NN1,16,R,1,31622776601.683792,"[512, 167, 10]",0.0003280042843745688
NN1,16,R,1,42169650342.85822,"[500, 250, 10]",0.00029977894849959614
NN1,16,R,1,56234132519.034904,"[500, 250, 10]",0.00027819449152276986
NN1,16,R,1,74989420933.24557,"[500, 250, 10]",0.00026200843222426234
NN1,16,R,1,100000000000.0,"[500, 250, 10]",0.0002498706000843997
NN1,16,R,1,133352143216.3324,"[500, 500, 10]",0.00023969623135408472
NN1,16,R,1,177827941003.89227,"[500, 500, 10]",0.0002298707408681095
NN1,16,R,1,237137370566.16553,"[500, 500, 10]",0.00022250266244882552
NN1,16,R,1,316227766016.83795,"[500, 500, 10]",0.00021697738310829705
NN1,16,R,1,421696503428.5823,"[500, 500, 10]",0.0002128340081258905
NN1,16,R,1,562341325190.3491,"[500, 500, 10]",0.00020972691521949086
NN1,16,R,1,749894209332.4558,"[1000, 500, 10]",0.00020679412035681382
NN1,16,R,1,1000000000000.0,"[1000, 500, 10]",0.0002026968335762305
NN1,16,R,1,1333521432163.324,"[1000, 500, 10]",0.00019962430194549663
NN1,16,R,1,1778279410038.9229,"[1000, 500, 10]",0.00019732022826761853
NN1,16,R,1,2371373705661.6553,"[1000, 500, 10]",0.00019559241675870238
NN1,16,R,1,3162277660168.3794,"[1000, 500, 10]",0.0001942967409133482
NN1,16,R,1,4216965034285.8223,"[1000, 500, 10]",0.00019332512109974516
NN1,16,R,1,5623413251903.491,"[1000, 500, 10]",0.00019259650902785156
NN1,16,R,1,7498942093324.559,"[1000, 500, 10]",0.0001920501270542888
NN1,16,R,1,10000000000000.0,"[1000, 500, 10]",0.0001916403983762305
NN1,16,R,1,1e+18,"[1000, 500, 10]",0.0001904119178611585
NN1,16,R,1,435200000000.0,"[500, 500, 10]",0.00021244854055747303
NN1,16,R,0,1000000000.0,"[500, 125, 10]",0.003303855328068225
NN1,16,R,0,1333521432.163324,"[500, 125, 10]",0.002538603639093252
NN1,16,R,0,1778279410.0389228,"[500, 125, 10]",0.0019647458288490384
NN1,16,R,0,2371373705.6616554,"[500, 125, 10]",0.0015344131799666992
NN1,16,R,0,3162277660.1683793,"[500, 125, 10]",0.0012117092184831361
NN1,16,R,0,4216965034.2858224,"[500, 125, 10]",0.0009697153864379684
NN1,16,R,0,5623413251.903491,"[500, 125, 10]",0.0007882456130931262
NN1,16,R,0,7498942093.324558,"[500, 125, 10]",0.0006521624808929558
NN1,16,R,0,10000000000.0,"[500, 125, 10]",0.000550114528068225
NN1,16,R,0,13335214321.63324,"[512, 167, 10]",0.0004691208681483554
NN1,16,R,0,17782794100.38923,"[512, 167, 10]",0.00040905401114300726
NN1,16,R,0,23713737056.61655,"[512, 167, 10]",0.000364010222901896
NN1,16,R,0,31622776601.683792,"[512, 167, 10]",0.0003302321469334893
NN1,16,R,0,42169650342.85822,"[512, 167, 10]",0.0003049021633623894
NN1,16,R,0,56234132519.034904,"[512, 167, 10]",0.00028590735535993523
NN1,16,R,0,74989420933.24557,"[500, 250, 10]",0.0002696826880437904
NN1,16,R,0,100000000000.0,"[500, 250, 10]",0.00025562548008439974
NN1,16,R,0,133352143216.3324,"[500, 250, 10]",0.00024508406123627057
NN1,16,R,0,177827941003.89227,"[500, 250, 10]",0.00023717911228391054
NN1,16,R,0,237137370566.16553,"[500, 250, 10]",0.00023125123683946706
NN1,16,R,0,316227766016.83795,"[500, 500, 10]",0.00022384878477985142
NN1,16,R,0,421696503428.5823,"[500, 500, 10]",0.00021798683244938648
NN1,16,R,0,562341325190.3491,"[500, 500, 10]",0.00021359098834138792
NN1,16,R,0,749894209332.4558,"[500, 500, 10]",0.0002102945702996716
NN1,16,R,0,1000000000000.0,"[500, 500, 10]",0.00020782260549864951
NN1,16,R,0,1333521432163.324,"[500, 500, 10]",0.0002059688934086894
NN1,16,R,0,1778279410038.9229,"[1000, 500, 10]",0.00020250334175808977
NN1,16,R,0,2371373705661.6553,"[1000, 500, 10]",0.0001994792035515197
NN1,16,R,0,3162277660168.3794,"[1000, 500, 10]",0.00019721141982219177
NN1,16,R,0,4216965034285.8223,"[1000, 500, 10]",0.0001955108219355504
NN1,16,R,0,5623413251903.491,"[1000, 500, 10]",0.000194235553427955
NN1,16,R,0,7498942093324.559,"[1000, 500, 10]",0.0001932792369587652
NN1,16,R,0,10000000000000.0,"[1000, 500, 10]",0.00019256210077623048
NN1,16,R,0,1e+18,"[1000, 500, 10]",0.00019041192707818248
NN1,16,R,0,435200000000.0,"[500, 500, 10]",0.00021744148173394364
