tag,net,C,c,k,B,mux,P_lane_max,mu,bwd,F,P_lane_dbm,IL_window,acl,T,comp,comm,E_laser,E_tune,E_dyn,E_fab,E_leak,E_comp,E_total,max_chain,segments,relays,commF,commB,fabric_bound,T_max,T_bf,u_bf,T_ideal,E_ideal,acl_ideal,IL_ideal,P_ideal_dbm,secs
lanes,NN2,64,16,1,40000000000.0,SDM,8.0,1,R,6,3.392325353628083,13.661425483708648,"[51, 49, 63, 32, 1]",9.191412348040909e-05,8.011199203187251e-05,1.1557131448536583e-05,1.1709891346596595e-05,8.823039360000018e-07,4.021019648e-05,8.409472000000001e-05,2.7883068499016897e-06,0.00029263773999999997,0.0004323231586124982,6.0,3451.0,2807.0,8.803304301506438e-07,1.067680101838594e-05,0.0,9.209529995099733e-05,9.206294700982085e-05,63,8.459177053923263e-05,0.00040565582305952764,"[64, 49, 63, 32, 1]",32.76141276307128,22.49231263299071,0.8666729927062988
lanes,NN2,64,16,2,40000000000.0,SDM,8.0,1,R,6,3.392325353628083,13.661425483708648,"[51, 49, 63, 32, 1]",8.625882936276203e-05,8.011199203187251e-05,5.901837330889523e-06,1.1709891346596595e-05,8.823039360000018e-07,4.021019648e-05,8.409472000000001e-05,2.616747847548749e-06,0.00029263773999999997,0.0004321515996101453,6.0,3451.0,2807.0,5.01801018385938e-07,5.400036312503585e-06,0.0,8.634941759805613e-05,8.63332411274679e-05,63,8.283725176942639e-05,0.0004055625234221081,"[47, 49, 63, 32, 1]",32.76141276307128,22.49231263299071,0.3825817108154297
lanes,NN2,64,16,4,40000000000.0,SDM,8.0,1,R,6,3.392325353628083,13.661425483708648,"[51, 49, 63, 32, 1]",8.343441759805614e-05,8.011199203187251e-05,3.0774255661836403e-06,1.1709891346596595e-05,8.823039360000018e-07,4.021019648e-05,8.409472000000001e-05,2.531066492254631e-06,0.00029263773999999997,0.0004320659182548512,6.0,3451.0,2807.0,3.1415395956240855e-07,2.7632716066212317e-06,0.0,8.347971171570321e-05,8.34732411274679e-05,63,8.263690131241415e-05,0.0004055564455906442,"[47, 49, 63, 32, 1]",32.76141276307128,22.49231263299071,0.3762533664703369
lanes,NN2,64,16,10,40000000000.0,SDM,8.0,1,R,6,3.392325353628083,13.661425483708648,"[64, 49, 63, 32, 1]",8.267349893261138e-05,8.011199203187251e-05,2.3165069007388793e-06,1.1898300675018792e-05,8.964999936000012e-07,4.0810176000000005e-05,8.409472000000001e-05,2.507983263619699e-06,0.00029263773999999997,0.00043284541993223846,6.0,3646.0,2976.0,2.0091866544476147e-07,2.1155882352941177e-06,4.0,8.267349893261138e-05,8.267349893261138e-05,64,8.261169791422546e-05,0.00040555568102035674,"[47, 49, 63, 32, 1]",32.76141276307128,22.49231263299071,0.3958775997161865
lanes,NN2,64,16,1,40000000000.0,SDM,8.0,1,T,6,3.392325353628083,13.661425483708648,"[64, 49, 63, 32, 1]",8.485766845505234e-05,8.315288994769223e-05,1.459778507360111e-06,1.4655301273117707e-06,1.1042314239999983e-07,1.0023924479999984e-05,9.358912e-06,2.574242230252468e-06,0.00036662558,0.0003901586119799642,6.0,3646.0,2976.0,8.544480772094674e-07,6.053304301506438e-07,0.0,8.485766845505234e-05,8.485766845505234e-05,64,8.371472727858176e-05,0.0003858359109663264,"[47, 49, 63, 32, 1]",32.76141276307128,22.49231263299071,0.3544588088989258
lanes,NN2,64,16,2,40000000000.0,SDM,8.0,1,T,6,3.392325353628083,13.661425483708648,"[64, 49, 63, 32, 1]",8.425266845505233e-05,8.315288994769223e-05,8.547785073601112e-07,1.4655301273117707e-06,1.1042314239999983e-07,1.0023924479999984e-05,9.358912e-06,2.5558889502524674e-06,0.00036662558,0.0003901402586999642,6.0,3646.0,2976.0,4.888598419153498e-07,3.6591866544476145e-07,0.0,8.425266845505233e-05,8.425266845505233e-05,64,8.365485869590008e-05,0.00038583409479300216,"[47, 49, 63, 32, 1]",32.76141276307128,22.49231263299071,0.3609354496002197
lanes,NN2,64,16,4,40000000000.0,SDM,8.0,1,T,6,3.392325353628083,13.661425483708648,"[64, 49, 63, 32, 1]",8.395178610211116e-05,8.315288994769223e-05,5.538961544189347e-07,1.4655301273117707e-06,1.1042314239999983e-07,1.0023924479999984e-05,9.358912e-06,2.546761383193644e-06,0.00036662558,0.00039013113113290537,6.0,3646.0,2976.0,3.0768337132711445e-07,2.4621278309182024e-07,0.0,8.395178610211116e-05,8.395178610211116e-05,64,8.363912275764563e-05,0.00038583361742757926,"[47, 49, 63, 32, 1]",32.76141276307128,22.49231263299071,0.3546321392059326
lanes,NN2,64,16,10,40000000000.0,SDM,8.0,1,T,6,3.392325353628083,13.661425483708648,"[64, 49, 63, 32, 1]",8.377384492564057e-05,8.315288994769223e-05,3.759549779483465e-07,1.4655301273117707e-06,1.1042314239999983e-07,1.0023924479999984e-05,9.358912e-06,2.5413633596642323e-06,0.00036662558,0.000390125733109376,6.0,3646.0,2976.0,2.0091866544476147e-07,1.75036312503585e-07,0.0,8.377384492564057e-05,8.377384492564057e-05,64,8.3635887463528e-05,0.00038583351928169694,"[47, 49, 63, 32, 1]",32.76141276307128,22.49231263299071,0.35271716117858887
lanes,NN2,64,16,1,40000000000.0,SDM,8.0,8,R,6,3.392325353628083,13.661425483708648,"[51, 49, 63, 32, 1]",0.0003138343168246791,0.0002211430677290837,9.073124909559541e-05,9.367913077277276e-05,7.058431488000014e-06,0.00032168157184,0.0006727577600000001,9.520477835193465e-06,0.0018308307599999999,0.0029355281319359662,6.0,3451.0,2807.0,6.179742194856525e-06,8.455150690073888e-05,0.0,0.000315283728589385,0.0003150249050599732,63,0.000256428601557423,0.002722225034924442,"[64, 49, 63, 32, 1]",32.76141276307128,22.49231263299071,0.3691120147705078
lanes,NN2,64,16,2,40000000000.0,SDM,8.0,8,R,6,3.392325353628083,13.661425483708648,"[51, 49, 63, 32, 1]",0.0002685919638835026,0.0002211430677290837,4.548889615441893e-05,9.367913077277276e-05,7.058431488000014e-06,0.00032168157184,0.0006727577600000001,8.148005816369935e-06,0.0018308307599999999,0.0029341556599171426,6.0,3451.0,2807.0,3.151506900738878e-06,4.2337389253680054e-05,0.0,0.00026931666976585554,0.0002691872580011497,63,0.00024281356524491943,0.002721491412734716,"[47, 49, 63, 32, 1]",32.76141276307128,22.49231263299071,0.35809850692749023
